corner,mix,dp,H_load_s,Heff_E1_500ms,Heff_E2_500ms,Heff_E3_500ms,r_E1,r_E2,r_E3,damping_W_pu,E2_cond,E_load_GWs,frac_released_E3
stress,A0,0.1,0.148133333333333,0.384277632554982,-3.51253998267252e-10,0.000652737249284398,2.59413343308944,-2.3712016084648e-09,0.00440641707437713,3510431914.83269,4.18056428430626,0.924187706294731,0.00440641707437713
stress,HB08,0.1,0.214533333333333,0.46072311414538,-4.18176265370205e-10,0.000931086774997238,2.14755957494739,-1.94923678699598e-09,0.00434005644032274,3366151970.9142,4.20862186746094,1.10803908951964,0.00434005644032274
stress,HB15,0.1,0.369466666666667,0.615601396091804,-5.66589369936457e-10,0.00156868409261638,1.66618927126977,-1.53353311964036e-09,0.00424580681870185,3535814837.55802,4.21495390720897,1.48052135760079,0.00424580681870185
stress,HB25,0.1,0.5908,0.841454336726252,-6.99332011067212e-10,0.00238709292945129,1.4242625875529,-1.18370347167774e-09,0.00404044165445378,4486718957.34859,4.2359272438354,2.02369767982664,0.00404044165445378
stress,HA15,0.1,0.431866666666667,0.667983486442712,-5.78520869533177e-10,0.00177122298711444,1.54673545795626,-1.33958213074987e-09,0.00410131905012606,4051534917.47868,4.22428306991371,1.60650028489472,0.00410131905012606
stress,HC15,0.1,0.388933333333333,0.628879161853189,-6.0824424594564e-10,0.00165912284105843,1.6169330524165,-1.56387790352839e-09,0.00426582835376696,3283628485.75048,4.22077382240127,1.51245438425692,0.00426582835376696
stress,HU15,0.1,0.894,1.11477257984275,-1.04698277155962e-09,0.00356041322109559,1.24694919445498,-1.1711216684112e-09,0.00398256512426799,3894843776.46278,4.24673787640302,2.68102805452181,0.00398256512426799
stress,FB30,0.1,0.237466666666667,0.495095657366077,-4.56971122463027e-10,0.00101689273853356,2.08490591254665,-1.92435902216322e-09,0.00428225465412786,3334685263.26384,4.20512986599233,1.19070505596542,0.00428225465412786
stress,JMAX,0.1,1.19333333333333,1.50944374687118,-1.07216447502573e-09,0.0044998305553191,1.26489699458479,-8.98461850580217e-10,0.00377080772792103,7298361371.5943,4.30861375741583,3.63021221122518,0.00377080772792103
stress,A0,0.25,0.148133333333333,0.410305361829327,-2.7335470918264e-10,0.0016317796588769,2.76983817616557,-1.84532881986481e-09,0.011015614258845,3575250244.2257,4.21791725977906,0.986784395199532,0.011015614258845
stress,HB25,0.25,0.5908,0.847550938985773,-6.27792232019678e-10,0.00596191868828046,1.43458181954261,-1.06261379827298e-09,0.0100912638596487,4472663126.60163,4.2416187940101,2.03836000826078,0.0100912638596487
stress,JMAX,0.25,1.19333333333333,1.5167106983085,-1.00726016227921e-09,0.0112378509068593,1.27098661869428,-8.44072761686487e-10,0.0094171934973681,7120157297.71405,4.30480541988288,3.64768922943195,0.0094171934973681
stress,A0,-0.1,0.148133333333333,0.408138992952895,-1.20548737047964e-10,-0.000655632293827867,2.75521372380442,-8.13785353609117e-10,-0.00442596057939604,3520802442.72617,4.19416621060099,0.981574278051712,-0.00442596057939604
stress,HB25,-0.1,0.5908,0.861292259472187,-5.1581294730241e-10,-0.00239305370448276,1.45784065584324,-8.73075401662848e-10,-0.00405053098253683,4190244235.68743,4.28132079768133,2.07140788403061,-0.00405053098253683
stress,JMAX,-0.1,1.19333333333333,1.53228499453289,-8.95053419897608e-10,-0.00450560514855157,1.28403770491583,-7.50044765277325e-10,-0.00377564677252925,6954476739.88436,4.32976899061575,3.68514541185161,-0.00377564677252925
nominal,A0,0.1,0.148133333333333,0.34733335149789,-1.78712840740691e-11,0.000263955983411555,2.34473459607036,-1.20643231823149e-10,0.00178188107613561,3261383985.36023,3.96775767826028,0.835336710352425,0.00178188107613561
nominal,HB08,0.1,0.214533333333333,0.409076646357568,-1.20595510369218e-10,0.000376214843293921,1.90682091217014,-5.62129476550113e-10,0.00175364283698223,3286108945.72702,3.96864135533377,0.983829334489952,0.00175364283698223
nominal,HB15,0.1,0.369466666666667,0.556489102831968,-2.90850673836251e-10,0.000628878050443809,1.50619569514246,-7.87217630375995e-10,0.00170212391855957,3883998373.89039,3.97256570052436,1.33835629231088,0.00170212391855957
nominal,HB25,0.1,0.5908,0.766843520267073,-4.22163916632195e-10,0.000957363512665072,1.29797481426383,-7.14563162884555e-10,0.00162045279733424,5507206361.51725,3.98109080518996,1.84425866624231,0.00162045279733424
nominal,HA15,0.1,0.431866666666667,0.604002780120383,-3.03006410389077e-10,0.000705858344433348,1.39858624603361,-7.01620277220771e-10,0.00163443580835138,4525772711.75249,3.97450904076048,1.45262668618952,0.00163443580835138
nominal,HC15,0.1,0.388933333333333,0.572730584700263,-3.41621449331837e-10,0.000667341685176153,1.47256749580116,-8.78354772022207e-10,0.0017158253818379,3680921875.03928,3.97189123618822,1.37741705620413,0.0017158253818379
nominal,HU15,0.1,0.894,1.05198721801968,-8.5487704439946e-10,0.00144715600160597,1.17671948324349,-9.56238304697382e-10,0.00161874273110287,5745565368.05317,3.98616470003837,2.53002925933733,0.00161874273110287
nominal,FB30,0.1,0.237466666666667,0.462116155098716,-2.04682775996657e-10,0.000412128651570594,1.94602535836068,-8.61943189205462e-10,0.00173552211498004,3653351993.93638,3.97124963542242,1.11138935301241,0.00173552211498004
nominal,JMAX,0.1,1.19333333333333,1.38760471161949,-8.51729223646143e-10,0.00184110057089613,1.16279724437388,-7.13739572887829e-10,0.00154282170745486,10168114222.3644,4.00435902284392,3.33718933144488,0.00154282170745486
